,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 海淀区 万柳,好未来,10000人以上,已上市,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160620/b716b46881bddd5b5cb7a848ffab3e16e7ab4111dc1f7fbfd88bba83a3f68ac5_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,张先生,35-50K,c++架构师
1,北京 海淀区 苏州街,云航科技,0-20人,未融资,计算机软件,本科,1年以内,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180914/cd599ebde42b721e8b93dbe291d47418150e8accd7faa42d0f8faab1e8b3f1dd_s.jpg?x-oss-process=image/resize,w_40,limit_0",经理,马先生,8-15K,C++
2,北京 东城区 雍和宫,VisionVera,1000-9999人,未融资,通信/网络设备,本科,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_5.png?x-oss-process=image/resize,w_40,limit_0",研发工程师,高先生,30-35K·14薪,C++音视频工程师
3,北京 朝阳区 大屯,中科金财,1000-9999人,已上市,互联网金融,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190524/8d1e3f49b1ef80ebeb86f017d1245ffacfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘专员,张女士,10-15K·13薪,C++开发工程师
4,北京 东城区 雍和宫,永航科技,500-999人,不需要融资,游戏,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20181022/35e66419422d5e8a09d0e6c3d9315082da0e1269eae569e9e659d93d656da405_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,朱女士,25-50K·13薪,C++
5,北京 海淀区 上地,竞技世界,1000-9999人,未融资,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180619/8b66cd0a15688ec072fba90c1bf31e05d63a712c93497a544806cab9537a5276_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘顾问,闫女士,25-40K,C++服务器-游戏
6,北京 海淀区 中关村,锦仕咨询,0-20人,不需要融资,移动互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190116/b640c410f41ca4302f24921ffa88a28385699a6a6506592634f86f115912b069_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,刘女士,25-40K,C++
7,北京 海淀区 五棵松,中国航天科工,10000人以上,未融资,其他行业,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_11.png?x-oss-process=image/resize,w_40,limit_0",人事,张女士,10-15K,C++工程师
8,北京 海淀区 上地,百度,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",算法工程师,江先生,25-40K,C++
9,北京 朝阳区 北苑,闲徕互娱,1000-9999人,不需要融资,互联网,本科,5-10年,"https://img2.bosszhipin.com/mcs/useravatar/20160215/5f3658d04347a9c9f34a9e0b54dd294fa4fee1f892e62ca096c4eb0fe7753e42_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,张女士,30-60K·14薪,C++服务器技术经理
10,北京 海淀区 知春路,北京创想明天科技...,20-99人,不需要融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190520/dd3e282ae5cc9d434e69fcc6360f4ffde4d9a9b2d4973a4f4676588c95bfb7ff_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR经理,张女士,11-20K,C++程序员
11,北京 海淀区 五道口,大型医疗设备研发生产,,,,本科,经验不限,"https://img2.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",软件经理,李先生,15-30K,C++
12,北京 海淀区 中关村,好未来,10000人以上,已上市,互联网,本科,3-5年,"https://img2.bosszhipin.com/boss/avatar/avatar_11.png?x-oss-process=image/resize,w_40,limit_0",Hr,骆女士,25-45K·14薪,高级客户端C++
13,北京 海淀区 中关村,福莱思凯,0-20人,不需要融资,通信/网络设备,本科,1年以内,"https://img.bosszhipin.com/boss/avatar/avatar_9.png?x-oss-process=image/resize,w_40,limit_0",人事经理,刘女士,8-13K·15薪,C++
14,北京 海淀区 中关村,爱奇艺,1000-9999人,已上市,互联网,硕士,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",招聘者,程先生,20-40K,C++
15,北京 海淀区 学院路,阅影科技,20-99人,A轮,医疗健康,本科,1年以内,"https://img.bosszhipin.com/boss/avatar/avatar_5.png?x-oss-process=image/resize,w_40,limit_0",招聘者,张先生,10-20K,C++
16,北京 朝阳区 来广营,北京协成致远,20-99人,未融资,数据服务,本科,3-5年,"https://img2.bosszhipin.com/mcs/useravatar/20150907/5c4149ea5b9bb434db8dbaa58589b31fff0972501dbe5ecb013d53cf0dfbb81f_s.jpg?x-oss-process=image/resize,w_40,limit_0",人力主管,姚先生,11-20K,C++
17,北京  ,北京理正,500-999人,未融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160423/d64232649cd633ae8671343a643bc0d18c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,崔先生,10-11K,C++
18,北京  ,竞技世界,1000-9999人,未融资,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170929/0fba8dc3a0facea2be75bda37484ea90b0f7bfe45df9b031c58971ddd0f18ba5_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事,赵女士,35-50K·14薪,资深游戏C++工程师
19,北京 朝阳区 酒仙桥,绛门科技,500-999人,已上市,计算机软件,本科,1-3年,"https://img.bosszhipin.com/beijin/upload/avatar/20190811/03f767ce839f0893221d0540abd5597111c25b75215c38070fea60bf5691dd16_s.png?x-oss-process=image/resize,w_40,limit_0",HR,李女士,9-13K,c++
20,北京 海淀区 西北旺,滴滴,1000-9999人,D轮及以上,移动互联网,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_15.png?x-oss-process=image/resize,w_40,limit_0",技术专家,张先生,20-40K,C++/golang工程师
21,北京 丰台区 云岗,聚创,,,,本科,1-3年,"https://img2.bosszhipin.com/boss/avatar/avatar_1.png?x-oss-process=image/resize,w_40,limit_0",招聘经理,张女士,9-14K,c++
22,北京 海淀区 西北旺,华如科技,500-999人,不需要融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_9.png?x-oss-process=image/resize,w_40,limit_0",人事主管,苗女士,12-18K,C++（Qt）工程师
23,北京 东城区 雍和宫,永航科技,500-999人,不需要融资,游戏,学历不限,经验不限,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190619/d323cd561b258ac1585b9a0a19c1197dcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,刘女士,20-40K,游戏开发C++工程师
24,北京 海淀区 四季青,恒信东方,1000-9999人,已上市,移动互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180717/f108191666e88f16e560b6ea7f9eeaabcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事,王女士,20-35K,C++引擎架构师
25,北京 海淀区 上地,视连通,20-99人,A轮,移动互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190625/f099c5c2d1bb18bc97877d30e33521f2caad06e5fcdbb5dd8ff0724afb44a28a_s.png?x-oss-process=image/resize,w_40,limit_0",招聘者,马先生,15-20K,C++软件工程师
26,北京 朝阳区 北苑,华悦迈普科技,20-99人,未融资,计算机软件,本科,1-3年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",总经理,吕先生,8-13K,C++工程师
27,北京 朝阳区 望京,高德地图,1000-9999人,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/upload/avatar/20190705/fa6295027722b2a6f7954372004ca0f900246902dee71fe3d4e01ca762b45902_s.jpg?x-oss-process=image/resize,w_40,limit_0",工程师,王先生,15-30K,导航软件C++高级工程师
28,北京 海淀区 中关村,好未来,10000人以上,已上市,互联网,本科,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190328/9782bdba913208c1ddb8d33f876439dacfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,肖女士,25-45K·14薪,客户端C++工程师
29,北京 海淀区 西二旗,百度,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20171012/e1fe5508e5088e848c2f189253dc368ce8d6dd79ba99d2c0af9b86f9fbb45695_s.jpg?x-oss-process=image/resize,w_40,limit_0",Recruiter,梁女士,20-30K,云端研发（PHP/C++）工程师
