,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 大兴区 天宫院,汉默海德（北京）...,0-20人,不需要融资,移动互联网,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180309/15a49be56f23666a18604eca680863ad00c17ac0d5ef1537a8fe5816bb238947_s.jpg?x-oss-process=image/resize,w_40,limit_0",创始人,宋玉成,7-9K,Web前端
1,北京 海淀区 清河,软通动力,10000人以上,已上市,计算机软件,大专,5-10年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190128/ba4c98010bb9dbdf7af71c5bc84a8bdacfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,余学思,18-28K,资深web前端
2,北京 朝阳区 燕莎,太一云,100-499人,已上市,移动互联网,大专,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180424/e13b56c40b8e82359808ad3d20932265cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,郭瑞红,15-20K,Web前端工程师
3,北京 大兴区 亦庄,北京智享同创网络...,,,,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160513/5dbad2d9e46b9396f9a803e1616f8cf19103f3465b5fbeee2d2f769a031e0876_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘者,施文哲,15-20K,web前端
4,北京 海淀区 西二旗,水木畅想,20-99人,未融资,计算机软件,学历不限,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190422/7e1ea5ad8a55266b347612bde08ebf3fcfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,段文莉,11-22K,web前端
5,北京 朝阳区 望京,聚创管理,,,,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190417/21719f570e9948a913c6346fdbec9710cfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事,梁丽婷,15-30K,web前端
6,北京 朝阳区 常营,职聊科技,0-20人,未融资,移动互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/banner/20171031/84ade9701fd02a77fedb6675600a134f33d208e8d6fc287973c46e5cb5346f06.png?x-oss-process=image/resize,w_40,limit_0",职业辅导师,刘萌,15-30K,web前端- 职业辅导师
7,北京 丰台区 科技园区,埃洛克航空,20-99人,B轮,智能硬件,本科,3-5年,"https://img.bosszhipin.com/boss/avatar/avatar_12.png?x-oss-process=image/resize,w_40,limit_0",行政助理,佟丹,15-25K,web前端
8,北京 海淀区 花园桥,中投视讯,100-499人,D轮及以上,企业服务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180316/1130c0c4853abd494145b20d4cdc08e883fc0e90ca3c4ce801a8192e35cd583b_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事主管,李清,15-20K,Web前端主管工程师
9,北京 丰台区 科技园区,金泰亚盛,100-499人,D轮及以上,计算机软件,大专,5-10年,"https://img.bosszhipin.com/beijin/upload/avatar/20190805/4b4a5d38770f1b87031e9634ec4913e87c0dc1ed1877dfba30c24851b96d7aa2_s.jpg?x-oss-process=image/resize,w_40,limit_0",人事,杨秀莹,11-14K,web前端开发
