,adress,company,company_size,company_statue,company_type,educate,experi,hr_head,hr_job,hr_name,salary,title
0,北京 朝阳区 酒仙桥,光速斑马,20-99人,不需要融资,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180619/0252ea748873e7080ba9edc2f35bf6851360228a1147c26a32341271c48fd819_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRM,陈女士,16-25K·14薪,PHP
1,北京 海淀区 四季青,好收益,20-99人,A轮,互联网金融,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170210/0984e5d920f96bd1a9728d375f9512f1a40d24b37be6a9f3a36cd3e7c494bb7b_s.jpg?x-oss-process=image/resize,w_40,limit_0",CEO,谢先生,12-20K,PHP
2,北京 通州区 梨园,圣熙恒升教育,20-99人,未融资,在线教育,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20190614/5fd4f46e54c8c79729515039b16c458ccfcd208495d565ef66e7dff9f98764da_s.jpg?x-oss-process=image/resize,w_40,limit_0",销售主管,安女士,15-20K,PHP
3,北京 顺义区 李桥,银景科技,20-99人,未融资,计算机软件,本科,1年以内,"https://img.bosszhipin.com/beijin/mcs/useravatar/20171123/b695fe42406a814d7f1a0f4f6a07fd4afa20ab65364f4e18ef5169fa66278c16_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘专员,龚女士,6-11K,PHP
4,北京 海淀区 中关村,好未来,10000人以上,已上市,互联网,本科,5-10年,"https://img.bosszhipin.com/boss/avatar/avatar_6.png?x-oss-process=image/resize,w_40,limit_0",高级技术经理,位先生,30-60K,PHP架构师
5,北京 海淀区 清河,小米,10000人以上,已上市,互联网,本科,经验不限,"https://img2.bosszhipin.com/mcs/useravatar/20150407/5fbac344188611da9621aed9ac23ceee8bee7c70fa2377c34db570f82ca84ea5_s.jpg?x-oss-process=image/resize,w_40,limit_0",HRBP,章先生,25-50K,高级PHP工程师
6,北京 朝阳区 酒仙桥,寺库,1000-9999人,已上市,电子商务,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20170810/ae4bc04e3acce2f4d411e45d4b43dd32c86bebaefce516cf0bc4891180e4a54a_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘经理,师女士,20-35K,PHP工程师
7,北京 海淀区 五棵松,雪梦都,20-99人,未融资,在线教育,大专,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20160721/ce57093413eed7e1cb6f7b6c7ff3e4648c7dd922ad47494fc02c388e12c00eac_s.jpg?x-oss-process=image/resize,w_40,limit_0",HR,刘女士,10-15K,PHP
8,北京 朝阳区 安贞,世纪佳缘,1000-9999人,已上市,互联网,本科,1-3年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20180715/f84bea5de50deabf0af14eaf458662062d798cd8750167b611aae12ca51297cf_s.jpg?x-oss-process=image/resize,w_40,limit_0",招聘主管,樊女士,12-20K·14薪,PHP工程师
9,北京 海淀区 中关村,好未来,10000人以上,已上市,互联网,本科,3-5年,"https://img.bosszhipin.com/beijin/mcs/useravatar/20171205/6a270efd320541d36b2a02eb2bc6b24d0fa32d8b2755f89368534f4635f69f9c_s.jpg?x-oss-process=image/resize,w_40,limit_0",研发工程师,邹先生,18-30K,PHP研发工程师
